Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,74,18,1624,5.2,10.4,.501,0.6,2.2,.268,4.6,8.2,.562,1.5,2.5,.616,4.2,6.6,10.8,2.2,1.0,1.5,1.8,3.2,12.5,achiupr01
2,Bam Adebayo,C,26,MIA,71,71,2416,7.9,15.2,.521,0.2,0.6,.357,7.7,14.5,.528,4.4,5.8,.755,2.4,8.6,11.0,4.1,1.2,1.0,2.4,2.4,20.4,adebaba01
3,Ochai Agbaji,SG,23,TOT,78,28,1641,3.9,9.5,.411,1.4,4.6,.294,2.5,4.9,.523,0.8,1.2,.661,1.6,3.1,4.7,1.8,1.0,1.0,1.4,2.6,10.0,agbajoc01
4,Santi Aldama,PF,23,MEM,61,35,1618,5.5,12.6,.435,2.4,6.8,.349,3.1,5.9,.534,1.2,1.9,.621,1.6,6.2,7.8,3.1,1.0,1.2,1.5,2.0,14.6,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,4.4,10.1,.439,2.5,6.3,.391,2.0,3.8,.517,1.0,1.2,.800,0.7,2.5,3.1,3.8,1.2,0.8,1.4,2.7,12.3,alexani01
6,Grayson Allen,SG,28,PHO,75,74,2513,4.9,9.8,.499,2.9,6.4,.461,1.9,3.4,.570,1.8,2.1,.878,0.7,3.5,4.2,3.3,1.0,0.6,1.4,2.2,14.5,allengr01
7,Jarrett Allen,C,25,CLE,77,77,2442,7.7,12.1,.634,0.0,0.1,.000,7.7,12.0,.638,3.4,4.6,.742,3.6,8.4,12.0,3.1,0.8,1.2,1.8,2.2,18.7,allenja01
8,Timmy Allen,SF,24,MEM,5,0,125,1.7,6.6,.261,0.0,2.0,.000,1.7,4.6,.375,0.3,0.6,.500,1.2,3.7,4.9,1.4,1.2,0.0,0.6,5.2,3.7,allenti01
9,Jose Alvarado,PG,25,NOP,56,0,1028,5.0,12.1,.412,2.7,7.2,.377,2.2,4.8,.464,1.2,1.8,.673,0.9,3.6,4.5,4.1,2.1,0.5,1.4,3.1,13.9,alvarjo01
10,Kyle Anderson,PF,30,MIN,79,10,1782,4.0,8.7,.460,0.2,1.0,.229,3.8,7.8,.488,2.0,2.8,.708,1.2,4.3,5.5,6.7,1.4,0.9,1.8,2.6,10.2,anderky01
11,Giannis Antetokounmpo,PF,29,MIL,73,73,2567,11.7,19.2,.611,0.5,1.7,.274,11.3,17.5,.645,7.2,11.0,.657,2.7,9.0,11.8,6.7,1.2,1.1,3.5,2.9,31.2,antetgi01
12,Thanasis Antetokounmpo,PF,31,MIL,34,0,155,3.7,7.0,.533,0.0,0.2,.000,3.7,6.7,.552,0.0,0.5,.000,1.6,1.4,3.0,3.9,1.6,0.9,3.3,5.6,7.4,antetth01
13,Cole Anthony,PG,23,ORL,81,0,1817,6.6,15.1,.435,1.8,5.4,.338,4.7,9.7,.490,3.6,4.3,.826,1.3,4.9,6.2,4.7,1.3,0.7,2.5,3.5,18.6,anthoco01
14,OG Anunoby,SF,26,TOT,50,50,1702,6.0,12.2,.489,2.2,5.6,.382,3.8,6.6,.581,1.4,1.9,.753,1.0,3.4,4.4,2.3,1.4,0.8,1.7,2.5,15.5,anunoog01
15,Ryan Arcidiacono,PG,29,NYK,20,0,45,0.0,4.8,.000,0.0,4.8,.000,0.0,0.0,,0.0,0.0,,0.0,6.4,6.4,3.2,1.6,0.0,1.6,4.0,0.0,arcidry01
16,Deni Avdija,SF,23,WAS,75,75,2257,6.5,12.8,.506,1.4,3.7,.374,5.1,9.1,.560,3.2,4.4,.740,1.3,7.3,8.6,4.6,1.0,0.6,2.6,3.0,17.6,avdijde01
17,Deandre Ayton,C,25,POR,55,55,1784,8.6,15.1,.570,0.0,0.2,.100,8.6,14.9,.576,1.3,1.6,.823,3.6,8.7,12.3,1.8,1.1,0.8,2.0,2.2,18.6,aytonde01
18,Udoka Azubuike,C,24,PHO,16,0,113,5.1,7.3,.696,0.0,0.0,,5.1,7.3,.696,1.0,4.1,.231,3.5,6.7,10.2,1.0,0.3,1.9,1.3,5.4,11.2,azubuud01
19,Ibou Badji,C,21,POR,22,1,226,2.2,3.5,.636,0.0,0.0,,2.2,3.5,.636,1.0,1.9,.500,3.2,4.9,8.1,2.1,0.5,3.2,2.4,7.3,5.4,badjiib01
20,Marvin Bagley III,C,24,TOT,50,25,1053,8.2,13.9,.586,0.3,0.8,.391,7.9,13.2,.597,3.3,4.3,.762,4.4,6.2,10.7,1.9,0.7,1.1,2.0,2.8,19.9,baglema01
21,Amari Bailey,PG,19,CHO,10,0,65,4.4,13.3,.333,0.6,4.4,.125,3.9,8.9,.438,3.3,3.9,.857,3.3,1.7,5.0,3.9,1.7,0.0,2.2,1.1,12.7,baileam01
22,Patrick Baldwin Jr.,SF,21,WAS,38,7,493,4.3,11.3,.381,2.3,7.1,.320,2.0,4.2,.483,1.4,2.0,.679,1.2,7.7,9.0,2.1,1.3,1.1,1.4,4.1,12.3,baldwpa01
23,LaMelo Ball,PG,22,CHO,22,22,711,9.3,21.4,.433,3.5,10.0,.355,5.7,11.4,.500,4.6,5.3,.865,1.5,4.3,5.7,8.9,2.0,0.2,4.2,4.0,26.6,ballla01
24,Mo Bamba,C,25,PHI,57,17,740,4.7,9.6,.490,1.2,3.1,.391,3.5,6.5,.537,1.7,2.4,.680,3.7,7.8,11.6,2.0,1.1,2.9,1.9,4.9,12.3,bambamo01
25,Paolo Banchero,PF,21,ORL,80,80,2799,8.2,18.1,.455,1.5,4.5,.339,6.7,13.6,.493,5.2,7.2,.725,1.1,6.1,7.1,5.5,0.9,0.6,3.2,2.0,23.2,banchpa01
26,Desmond Bane,SG,25,MEM,42,42,1443,9.0,19.4,.464,3.4,9.0,.381,5.6,10.4,.536,3.5,4.0,.870,0.9,3.7,4.6,5.7,1.1,0.5,2.8,3.0,24.9,banede01
27,Dalano Banton,PG,24,TOT,54,9,1047,6.9,17.2,.404,2.0,6.8,.296,4.9,10.3,.475,3.2,4.1,.783,1.4,4.7,6.1,4.4,1.1,0.7,2.6,2.2,19.2,bantoda01
28,Dominick Barlow,PF,20,SAS,33,1,420,4.8,9.7,.496,0.3,0.8,.333,4.5,8.9,.510,2.5,3.6,.690,3.9,5.8,9.7,3.1,1.0,1.2,0.8,4.0,12.3,barlodo01
29,Harrison Barnes,PF,31,SAC,82,82,2381,5.2,11.1,.474,2.3,5.8,.387,3.0,5.2,.571,2.4,3.0,.801,1.0,2.8,3.8,1.5,0.8,0.2,0.9,1.5,15.1,barneha02
30,Scottie Barnes,SG,22,TOR,60,60,2094,7.7,16.2,.475,1.7,5.1,.341,5.9,11.1,.536,3.4,4.3,.781,2.4,6.1,8.5,6.2,1.3,1.5,2.8,2.0,20.5,barnesc01
31,RJ Barrett,SG,23,TOT,58,58,1838,8.5,17.2,.495,1.8,4.9,.360,6.8,12.3,.549,4.1,5.7,.715,1.0,5.1,6.2,3.8,0.6,0.4,2.5,2.5,22.9,barrerj01
32,Charles Bassey,C,23,SAS,19,0,205,5.1,7.0,.725,0.0,0.2,.000,5.1,6.8,.744,0.9,1.1,.833,4.0,9.3,13.3,3.7,1.4,3.0,2.6,5.4,11.1,bassech01
33,Emoni Bates,SF,20,CLE,15,0,133,4.1,13.3,.306,2.7,8.9,.303,1.4,4.3,.313,0.3,1.1,.250,0.3,3.5,3.8,2.7,0.3,0.5,2.2,1.4,11.1,batesem01
34,Keita Bates-Diop,SF,28,TOT,53,8,665,3.9,9.0,.434,1.1,3.7,.304,2.8,5.3,.526,1.7,2.3,.762,1.7,4.3,6.0,2.1,1.4,1.2,0.8,1.9,10.7,bateske01
35,Nicolas Batum,PF,35,TOT,60,38,1529,2.7,6.0,.453,1.7,4.4,.395,1.0,1.7,.606,0.4,0.5,.714,1.6,4.2,5.8,3.0,1.1,0.9,0.9,2.6,7.5,batumni01
