"DBN","School Name","Total Parent 
Response Rate","Total Teacher Response Rate","Total Student Response Rate","Collaborative Teachers Score","Effective School Leadership Score","Rigorous Instruction Score","Supportive Environment Score","Strong Family-Community Ties Score","Trust Score"
"01M015","P.S. 015 ROBERTO CLEMENTE","9,100%","10,000%","N/A","4.10","4.19","4.02","N/A","4.18","3.96"
"01M019","P.S. 019 ASHER LEVY","10,000%","9,300%","N/A","4.53","4.51","4.80","N/A","4.66","3.76"
"01M020","P.S. 020 ANNA SILVER","5,800%","9,000%","N/A","2.71","2.98","1.92","N/A","3.84","3.14"
"01M034","P.S. 034 FRANKLIN D. ROOSEVELT","2,900%","10,000%","9500%","2.69","2.59","2.14","N/A","3.67","2.38"
"01M063","THE STAR ACADEMY - P.S.63","8,000%","10,000%","N/A","N/A","N/A","N/A","N/A","N/A","3.77"
"01M064","P.S. 064 ROBERT SIMON","5,200%","9,600%","N/A","4.56","4.09","3.74","N/A","4.18","4.04"
"01M110","P.S. 110 FLORENCE NIGHTINGALE","7,900%","7,700%","N/A","3.11","3.15","1.96","N/A","3.67","3.29"
"01M134","P.S. 134 HENRIETTA SZOLD","4,600%","9,300%","N/A","2.51","1.53","3.19","N/A","3.38","2.55"
"01M140","P.S. 140 NATHAN STRAUS","5,700%","8,900%","8700%","3.44","4.21","3.40","N/A","3.59","3.70"
"01M142","P.S. 142 AMALIA CASTRO","10,000%","10,000%","N/A","3.55","3.73","3.23","N/A","4.01","3.12"
"01M184","P.S. 184M SHUANG WEN","9,200%","10,000%","10000%","2.68","2.49","2.77","N/A","3.42","3.09"
"01M188","P.S. 188 THE ISLAND SCHOOL","9,900%","6,900%","6600%","4.18","4.66","3.85","N/A","4.40","4.72"
"01M292","ORCHARD COLLEGIATE ACADEMY","4,900%","10,000%","8200%","3.75","3.48","3.30","N/A","3.06","3.88"
"01M315","THE EAST VILLAGE COMMUNITY SCHOOL","7,800%","9,200%","N/A","3.89","3.97","3.81","N/A","4.74","3.62"
"01M332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL","7,600%","8,600%","9200%","4.08","3.92","2.70","N/A","3.20","3.84"
"01M361","THE CHILDREN'S WORKSHOP SCHOOL","3,100%","8,100%","N/A","4.32","4.17","3.75","N/A","4.40","4.20"
"01M363","NEIGHBORHOOD SCHOOL","5,400%","9,200%","N/A","3.84","4.20","4.06","N/A","4.23","3.82"
"01M364","EARTH SCHOOL","5,900%","7,900%","N/A","4.69","4.39","4.28","N/A","4.57","3.78"
"01M378","SCHOOL FOR GLOBAL LEADERS","7,400%","9,100%","7700%","3.72","4.06","4.88","N/A","4.17","4.32"
"01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL","3,700%","10,000%","9400%","N/A","N/A","N/A","N/A","N/A","4.15"
"01M450","EAST SIDE COMMUNITY SCHOOL","7,400%","9,400%","9100%","4.84","4.50","4.57","N/A","4.65","4.51"
"01M458","FORSYTH SATELLITE ACADEMY","800%","8,100%","3600%","3.76","4.08","3.61","N/A","2.99","4.48"
"01M509","MARTA VALLE HIGH SCHOOL","1,900%","5,400%","7400%","2.03","2.63","1.92","N/A","2.44","1.83"
"01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL","4,700%","10,000%","7800%","4.37","4.24","3.74","N/A","4.02","4.41"
"01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL","6,700%","8,800%","9600%","3.28","3.80","3.96","N/A","3.74","2.97"
"01M650","CASCADES HIGH SCHOOL","1,600%","9,300%","6400%","3.65","3.21","3.16","N/A","3.53","3.39"
"01M696","BARD HIGH SCHOOL EARLY COLLEGE","4,900%","7,100%","9400%","N/A","N/A","N/A","N/A","N/A","3.60"
"01M839","TOMPKINS SQUARE MIDDLE SCHOOL","5,100%","7,400%","9700%","3.55","3.72","3.58","N/A","4.01","3.76"
"02M001","P.S. 001 ALFRED E. SMITH","7,600%","7,300%","N/A","3.20","3.11","3.08","N/A","4.10","4.16"
"02M002","P.S. 002 MEYER LONDON","7,600%","7,400%","N/A","3.58","3.97","3.22","N/A","4.10","4.07"
"02M003","P.S. 003 CHARRETTE SCHOOL","5,900%","10,000%","N/A","3.73","3.71","3.25","N/A","4.27","4.41"
"02M006","P.S. 006 LILLIE D. BLAKE","5,400%","6,100%","N/A","4.30","3.27","4.85","N/A","4.40","3.18"
"02M011","P.S. 011 WILLIAM T. HARRIS","6,400%","8,800%","N/A","4.43","3.80","4.45","N/A","4.40","3.97"
"02M033","P.S. 033 CHELSEA PREP","7,000%","7,300%","N/A","3.67","3.17","4.29","N/A","4.23","3.35"
"02M040","P.S. 040 AUGUSTUS SAINT-GAUDENS","5,100%","7,000%","N/A","4.24","3.68","4.86","N/A","4.57","4.09"
"02M041","P.S. 041 GREENWICH VILLAGE","5,600%","10,000%","N/A","4.54","3.70","4.85","N/A","4.74","4.04"
"02M042","P.S. 042 BENJAMIN ALTMAN","8,500%","9,000%","N/A","4.07","4.52","4.44","N/A","4.40","4.63"
"02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL","2,400%","7,600%","9600%","3.71","2.42","3.53","N/A","2.79","2.76"
"02M051","P.S. 051 ELIAS HOWE","7,100%","8,400%","N/A","4.24","3.13","3.63","N/A","4.49","3.84"
"02M059","P.S. 059 BEEKMAN HILL INTERNATIONAL","5,900%","6,800%","N/A","4.54","3.75","4.92","N/A","4.57","3.91"
"02M077","P.S. 77 LOWER LAB SCHOOL","8,100%","7,800%","N/A","3.59","4.05","4.38","N/A","4.49","2.42"
"02M089","P.S. 89","4,900%","7,600%","N/A","4.57","3.95","4.94","N/A","4.49","4.61"
"02M104","J.H.S. 104 SIMON BARUCH","7,100%","8,900%","9100%","3.59","3.23","3.82","N/A","2.86","3.43"
"02M111","P.S. 111 ADOLPH S. OCHS","3,900%","9,100%","N/A","3.51","3.44","3.04","N/A","3.84","3.65"
"02M114","EAST SIDE MIDDLE SCHOOL","6,400%","10,000%","9800%","4.50","4.28","4.74","N/A","3.87","4.41"
"02M116","P.S. 116 MARY LINDLEY MURRAY","4,000%","8,600%","N/A","4.69","4.23","4.90","N/A","4.49","4.47"
"02M124","P.S. 124 YUNG WING","10,000%","9,800%","N/A","3.76","3.42","3.58","N/A","4.18","3.87"
"02M126","P.S. 126 JACOB AUGUST RIIS","5,700%","7,900%","9500%","4.59","4.10","4.38","N/A","3.64","4.14"
"02M130","P.S. 130 HERNANDO DE SOTO","7,500%","10,000%","N/A","3.99","4.39","3.72","N/A","4.32","4.43"
"02M131","M.S. 131","6,100%","9,200%","9200%","4.38","4.05","3.86","N/A","3.72","4.23"
"02M135","THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT","4,100%","10,000%","9400%","3.42","3.42","3.85","N/A","3.40","3.55"
"02M139","STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL","3,300%","10,000%","8800%","3.52","4.17","3.25","N/A","3.21","2.99"
"02M150","P.S. 150","8,800%","10,000%","N/A","4.97","4.23","4.23","N/A","4.66","4.45"
"02M151","YORKVILLE COMMUNITY SCHOOL","7,500%","10,000%","N/A","4.69","4.18","4.94","N/A","4.57","4.24"
"02M158","P.S. 158 BAYARD TAYLOR","6,900%","8,400%","N/A","4.25","3.47","4.71","N/A","4.23","3.86"
"02M167","J.H.S. 167 ROBERT F. WAGNER","5,600%","9,200%","8300%","3.81","2.96","4.02","N/A","2.68","3.13"
"02M177","YORKVILLE EAST MIDDLE SCHOOL","4,400%","10,000%","9200%","4.66","3.65","3.98","N/A","3.89","3.85"
"02M183","P.S. 183 ROBERT L. STEVENSON","5,200%","5,800%","N/A","N/A","N/A","N/A","N/A","N/A","3.96"
"02M198","P.S. 198 ISADOR E. IDA STRAUS","9,200%","7,100%","N/A","3.58","3.60","3.31","N/A","4.35","4.13"
"02M212","P.S. 212 MIDTOWN WEST","8,500%","10,000%","N/A","4.83","4.50","4.51","N/A","4.49","4.41"
"02M217","P.S./I.S. 217 ROOSEVELT ISLAND","6,300%","10,000%","9700%","4.58","4.05","4.39","N/A","4.23","3.60"
"02M225","ELLA BAKER SCHOOL","8,700%","10,000%","9800%","3.60","3.54","3.60","N/A","4.49","3.59"
"02M234","P.S. 234 INDEPENDENCE SCHOOL","6,600%","7,300%","N/A","4.65","3.75","4.48","N/A","4.49","4.52"
"02M255","M.S. 255 SALK SCHOOL OF SCIENCE","6,900%","8,800%","9700%","4.74","4.84","4.17","N/A","4.26","4.79"
"02M260","THE CLINTON SCHOOL","4,600%","9,400%","6000%","3.19","3.46","4.26","N/A","2.19","3.15"
"02M267","EAST SIDE ELEMENTARY SCHOOL, PS 267","5,500%","8,600%","N/A","4.34","3.43","4.91","N/A","4.06","3.52"
"02M276","BATTERY PARK CITY SCHOOL","5,100%","9,000%","9600%","N/A","N/A","N/A","N/A","N/A","3.71"
"02M280","MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING","2,600%","6,800%","5100%","3.67","3.14","3.33","N/A","4.00","3.16"
"02M281","THE RIVER SCHOOL","7,500%","8,100%","N/A","4.22","3.67","3.71","N/A","4.57","4.02"
"02M282","URBAN ASSEMBLY MAKER ACADEMY","4,600%","10,000%","8000%","3.50","3.78","3.14","N/A","4.00","4.06"
"02M288","FOOD AND FINANCE HIGH SCHOOL","2,400%","8,600%","7500%","2.33","2.54","2.92","N/A","1.92","2.55"
"02M289","I.S. 289","5,800%","10,000%","9800%","4.18","3.70","4.00","N/A","3.83","3.65"
"02M290","P.S. 290 MANHATTAN NEW SCHOOL","5,300%","8,800%","N/A","4.00","2.48","4.45","N/A","4.23","2.85"
"02M294","ESSEX STREET ACADEMY","4,000%","10,000%","8800%","4.72","4.38","4.44","N/A","4.21","4.55"
"02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT","300%","4,500%","6200%","N/A","N/A","N/A","N/A","N/A","N/A"
"02M297","M.S. 297","4,400%","6,800%","9100%","3.53","3.82","3.40","N/A","3.76","3.20"
"02M298","PACE HIGH SCHOOL","2,600%","9,500%","8000%","3.71","3.35","3.75","N/A","3.21","3.38"
"02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE","5,600%","10,000%","8700%","N/A","N/A","N/A","N/A","N/A","4.33"
"02M303","FACING HISTORY SCHOOL, THE","3,000%","10,000%","8400%","4.40","4.23","3.85","N/A","3.95","4.37"
"02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE","5,000%","10,000%","8700%","3.73","4.22","3.43","N/A","4.55","3.72"
"02M308","LOWER MANHATTAN ARTS ACADEMY","3,000%","9,300%","7700%","3.23","2.80","3.47","N/A","1.96","1.85"
"02M312","NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES","5,100%","6,500%","9400%","4.33","3.45","3.64","N/A","3.77","4.02"
"02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING","2,600%","9,500%","5400%","3.73","3.66","3.61","N/A","3.59","3.90"
"02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE","2,700%","8,700%","3600%","3.73","3.96","3.08","N/A","3.34","4.22"
"02M340","SIXTH AVENUE ELEMENTARY SCHOOL","7,100%","10,000%","N/A","3.54","4.04","4.13","N/A","4.49","3.98"
"02M343","THE PECK SLIP SCHOOL","8,100%","8,200%","N/A","3.90","3.75","4.16","N/A","4.40","3.85"
"02M347","THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL","2,900%","8,300%","8000%","2.13","2.50","3.26","N/A","2.82","2.00"
"02M374","GRAMERCY ARTS HIGH SCHOOL","1,800%","6,900%","9100%","3.03","2.97","2.88","N/A","2.61","2.51"
"02M376","NYC ISCHOOL","6,600%","9,700%","9300%","4.46","3.90","4.44","N/A","3.78","4.27"
"02M392","MANHATTAN BUSINESS ACADEMY","2,800%","9,700%","7900%","4.29","3.62","4.65","N/A","2.45","3.51"
"02M393","BUSINESS OF SPORTS SCHOOL","1,600%","9,500%","7100%","3.28","3.47","3.35","N/A","3.74","3.65"
"02M394","EMMA LAZARUS HIGH SCHOOL","7,900%","9,500%","9700%","3.00","3.17","3.31","N/A","3.62","3.33"
"02M397","SPRUCE STREET SCHOOL","6,800%","9,800%","8100%","4.41","4.41","4.08","N/A","4.23","3.55"
"02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","1,000%","7,400%","7400%","2.42","2.56","2.39","N/A","1.73","2.19"
"02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","1,500%","8,100%","7000%","3.80","4.38","3.95","N/A","3.56","3.67"
"02M407","INSTITUTE FOR COLLABORATIVE EDUCATION","2,600%","2,600%","8600%","N/A","N/A","N/A","N/A","N/A","N/A"
"02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","5,000%","8,900%","8200%","3.83","3.73","3.37","N/A","3.30","3.31"
"02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL","3,900%","9,300%","7800%","3.04","2.74","3.65","N/A","3.59","2.68"
"02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES","4,300%","7,900%","9400%","4.48","4.07","4.39","N/A","4.23","4.04"
"02M413","SCHOOL OF THE FUTURE HIGH SCHOOL","4,300%","8,000%","8200%","N/A","N/A","N/A","N/A","N/A","3.18"
"02M414","N.Y.C. MUSEUM SCHOOL","2,700%","8,700%","9300%","3.11","2.98","3.88","N/A","3.02","2.14"
"02M416","ELEANOR ROOSEVELT HIGH SCHOOL","5,300%","8,000%","9200%","3.62","3.78","4.49","N/A","4.05","3.93"
"02M418","MILLENNIUM HIGH SCHOOL","3,800%","9,800%","9400%","3.32","3.43","2.86","N/A","3.26","3.39"
"02M419","LANDMARK HIGH SCHOOL","3,100%","10,000%","7500%","3.99","4.22","3.42","N/A","3.70","3.84"
"02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES","5,200%","9,400%","9000%","N/A","N/A","N/A","N/A","N/A","3.41"
"02M422","QUEST TO LEARN","2,400%","10,000%","7300%","3.96","3.42","3.14","N/A","3.30","3.85"
"02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL","2,100%","8,700%","7200%","3.43","3.02","2.52","N/A","2.94","3.44"
"02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","6,000%","9,000%","8900%","3.88","4.17","3.78","N/A","3.77","3.64"
"02M432","MURRAY HILL ACADEMY","2,100%","9,200%","7400%","4.41","4.41","4.74","N/A","3.38","3.76"
"02M437","HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","500%","9,400%","7800%","2.77","2.84","3.05","N/A","2.34","2.06"
"02M438","INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","2,400%","8,200%","9000%","3.95","3.64","3.67","N/A","3.43","4.23"
"02M439","MANHATTAN VILLAGE ACADEMY","5,100%","8,000%","9300%","4.21","3.78","4.77","N/A","4.18","3.62"
"02M442","BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE","7,700%","8,200%","10000%","3.98","4.63","4.23","N/A","4.40","4.42"
"02M449","VANGUARD HIGH SCHOOL","900%","9,700%","8200%","3.93","3.69","3.70","N/A","3.79","3.92"
"02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL","9,100%","10,000%","9100%","4.67","4.48","4.77","N/A","4.17","4.41"
"02M473","WASHINGTON IRVING YABC","6,700%","7,800%","6900%","3.38","3.70","3.43","N/A","4.09","4.28"
