"Player","Team","Pos","G","GS","TRB","AST","STL","BLK","TOV","PF","PTS"
"Kierstan Bell","LVA","F",6,0,5,4.2,0,0,0.8,4.2,14.2
"Caitlin Bickle","CON","F",8,0,0,0,0,0,0,2.4,0
"DeWanna Bonner","CON","G-F",40,39,6.7,2.3,1.3,0.8,1.6,2,17
"Kennedy Burke","NYL","G-F",38,3,4.5,2.6,1.9,0.9,2.1,2.9,10.3
"Veronica Burton","CON","G",31,1,4,5.3,1.3,0.6,1.4,2.9,8.8
"Emma Cannon","LVA","F",5,0,8,4,0,0,4,0,16
"Bridget Carleton","MIN","F",39,36,4.5,2.7,1.2,0.4,1.2,2.5,11.5
"DiJonai Carrington","CON","G-F",39,39,6.1,1.9,1.9,0.5,2.3,3.1,15.5
"Jessika Carter","LVA","C",2,0,0,0,0,0,0,0,0
"Alysha Clark","LVA","F",40,18,5.4,2.6,1.2,0.4,2,4,8.9
"Napheesa Collier","MIN","F",34,34,10.1,3.5,2,1.5,2.1,2.7,21.2
"Sydney Colson","LVA","G",31,1,2,4.4,2.2,0.7,2,3.3,11
"Marquesha Davis","NYL","G",20,0,4.5,1.8,0.5,1.8,1.4,5,10.8
"Ivana Dojkić","NYL","G",26,0,3.1,2.8,1.3,0.1,2,3.6,12.2
"Olivia Époupa","MIN","G",17,0,6,8.2,4.4,0,4.7,4.1,4.4
"Dyaisha Fair","LVA","G",1,0,0,18,0,0,0,0,0
"Leonie Fiebich","NYL","F",40,15,5.2,3,1.6,0.3,1.8,3.8,11.5
"Chelsea Gray","LVA","G",27,25,4.1,6.8,1.7,1,3.3,1.9,11.9
"Megan Gustafson","LVA","C",38,7,6.5,0.8,1.2,0.4,1.2,5.2,12.5
"Tyasha Harris","CON","G",39,38,2.2,3.8,1.3,0.4,1.7,2.1,13.1
"Tiffany Hayes","LVA","G",33,5,4.7,3.5,1.3,0.5,1.4,3.5,15.9
"Natisha Hiedeman","MIN","G",40,0,3.7,5.6,1.9,0.4,2.6,2.9,11.5
"Sabrina Ionescu","NYL","G",38,38,5,6.9,1.1,0.4,3.1,1.4,20.4
"Brionna Jones","CON","F",40,40,7.3,2,1.5,0.8,1.7,3.5,18.2
"Jonquel Jones","NYL","C",39,39,10.8,3.9,0.9,1.5,2.8,3.5,17.1
"Dorka Juhász","MIN","F",34,7,8.5,2.4,1,0.9,1.4,2.6,10.7
"Betnijah Laney-Hamilton","NYL","G-F",28,25,5,3.9,1.4,0,2.8,2.5,14
"Kate Martin","LVA","G",34,2,5,2.8,0.6,0.7,1.9,2.7,8
"Kayla McBride","MIN","G",39,39,2.9,3.7,1.4,0.1,2.3,1.4,17.1
"Diamond Miller","MIN","F",21,4,6.3,2.2,1.2,0.2,3.2,3.9,10.3
"Tiffany Mitchell","CON","G",24,0,3.4,1.7,1,0.1,1.4,2.7,10.8
"Astou Ndour-Fall","CON","C-F",22,0,7,0.4,0.4,1.6,1.2,3.9,9.8
"Olivia Nelson-Ododa","CON","C",37,0,7.7,0.7,1.2,1.7,2.4,5.2,10.3
"Alissa Pili","MIN","F",22,0,7,1.3,1.3,0.5,5,7.6,13.8
"Kelsey Plum","LVA","G",38,38,2.7,4.4,0.8,0,2.6,2.9,18.9
"Nyara Sabally","NYL","C",26,0,10.7,1.5,2.4,1.9,1.3,4.2,13.1
"Jaylyn Sherrod","NYL","G",10,0,2.9,4.9,2.9,1,1.9,3.9,18.5
"Alanna Smith","MIN","F",39,39,7.6,4.3,1.8,2,2.6,4.1,13.7
"Taylor Soule","MIN","F",2,0,12,0,0,0,12,0,0
"Breanna Stewart","NYL","F",38,38,9.4,3.9,1.9,1.4,1.9,2.3,22.5
"Kiah Stokes","LVA","C",39,29,9.3,1.4,1.1,1.7,0.8,3.4,2.8
"Alyssa Thomas","CON","F",40,40,9.4,8.8,1.7,0.5,4,2.3,11.7
"Kayla Thornton","NYL","F",40,11,4.6,1.2,1.3,0.4,1,2.5,9.8
"Courtney Vandersloot","NYL","G",31,31,4.2,7.8,1.3,0.8,2.9,2.8,10.3
"Courtney Williams","MIN","G",40,40,6.3,7.5,1.2,0.5,3.3,2.6,15.1
"A'ja Wilson","LVA","C",38,38,12.4,2.4,1.9,2.7,1.3,1.8,28.1
"Jackie Young","LVA","G",37,37,4.8,5.9,1.1,0.2,2.3,2.7,17.4
"Cecilia Zandalasini","MIN","F",40,0,3.4,3.2,1.1,0.7,2.3,4.1,13.5
