"word","prob","type","xToN","xToV","xToA","xToP","xToO"
"time",0.180054859225638,"noun",0,0.8,0,0.1,0.1
"person",0.110117495512665,"noun",0,0.8,0,0.1,0.1
"year",0.0974698422146625,"noun",0,0.8,0,0.1,0.1
"way",0.0956071877333386,"noun",0,0.8,0,0.1,0.1
"day",0.0835607755505861,"noun",0,0.8,0,0.1,0.1
"thing",0.057260668800046,"noun",0,0.8,0,0.1,0.1
"man",0.0547305115703534,"noun",0,0.8,0,0.1,0.1
"world",0.0519025064206687,"noun",0,0.8,0,0.1,0.1
"life",0.045472622595504,"noun",0,0.8,0,0.1,0.1
"hand",0.0443505591075742,"noun",0,0.8,0,0.1,0.1
"part",0.0364150720588387,"noun",0,0.8,0,0.1,0.1
"child",0.0208874482116706,"noun",0,0.8,0,0.1,0.1
"eye",0.0204397280159736,"noun",0,0.8,0,0.1,0.1
"woman",0.0166154788873189,"noun",0,0.8,0,0.1,0.1
"place",0.0155043756976191,"noun",0,0.8,0,0.1,0.1
"work",0.0147873289057201,"noun",0,0.8,0,0.1,0.1
"week",0.014055135517651,"noun",0,0.8,0,0.1,0.1
"case",0.00947925541189155,"noun",0,0.8,0,0.1,0.1
"point",0.00739024270226141,"noun",0,0.8,0,0.1,0.1
"government",0.00722510972167617,"noun",0,0.8,0,0.1,0.1
"company",0.0058693210083279,"noun",0,0.8,0,0.1,0.1
"number",0.00375278932210334,"noun",0,0.8,0,0.1,0.1
"group",0.00370896247271425,"noun",0,0.8,0,0.1,0.1
"problem",0.00221843650499107,"noun",0,0.8,0,0.1,0.1
"fact",0.00112428683020592,"noun",0,0.8,0,0.1,0.1
"be",0.180054859225638,"verb",0.8,0,0,0.1,0.1
"have",0.110117495512665,"verb",0.8,0,0,0.1,0.1
"do",0.0974698422146625,"verb",0.8,0,0,0.1,0.1
"say",0.0956071877333386,"verb",0.8,0,0,0.1,0.1
"get",0.0835607755505861,"verb",0.8,0,0,0.1,0.1
"make",0.057260668800046,"verb",0.8,0,0,0.1,0.1
"go",0.0547305115703534,"verb",0.8,0,0,0.1,0.1
"know",0.0519025064206687,"verb",0.8,0,0,0.1,0.1
"take",0.045472622595504,"verb",0.8,0,0,0.1,0.1
"see",0.0443505591075742,"verb",0.8,0,0,0.1,0.1
"come",0.0364150720588387,"verb",0.8,0,0,0.1,0.1
"think",0.0208874482116706,"verb",0.8,0,0,0.1,0.1
"look",0.0204397280159736,"verb",0.8,0,0,0.1,0.1
"want",0.0166154788873189,"verb",0.8,0,0,0.1,0.1
"give",0.0155043756976191,"verb",0.8,0,0,0.1,0.1
"use",0.0147873289057201,"verb",0.8,0,0,0.1,0.1
"find",0.014055135517651,"verb",0.8,0,0,0.1,0.1
"tell",0.00947925541189155,"verb",0.8,0,0,0.1,0.1
"ask",0.00739024270226141,"verb",0.8,0,0,0.1,0.1
"work",0.00722510972167617,"verb",0.8,0,0,0.1,0.1
"seem",0.0058693210083279,"verb",0.8,0,0,0.1,0.1
"feel",0.00375278932210334,"verb",0.8,0,0,0.1,0.1
"try",0.00370896247271425,"verb",0.8,0,0,0.1,0.1
"leave",0.00221843650499107,"verb",0.8,0,0,0.1,0.1
"call",0.00112428683020592,"verb",0.8,0,0,0.1,0.1
"good",0.180054859225638,"adjective",0.9,0,0,0,0.1
"new",0.110117495512665,"adjective",0.9,0,0,0,0.1
"first",0.0974698422146625,"adjective",0.9,0,0,0,0.1
"last",0.0956071877333386,"adjective",0.9,0,0,0,0.1
"long",0.0835607755505861,"adjective",0.9,0,0,0,0.1
"great",0.057260668800046,"adjective",0.9,0,0,0,0.1
"little",0.0547305115703534,"adjective",0.9,0,0,0,0.1
"own",0.0519025064206687,"adjective",0.9,0,0,0,0.1
"other",0.045472622595504,"adjective",0.9,0,0,0,0.1
"old",0.0443505591075742,"adjective",0.9,0,0,0,0.1
"right",0.0364150720588387,"adjective",0.9,0,0,0,0.1
"big",0.0208874482116706,"adjective",0.9,0,0,0,0.1
"high",0.0204397280159736,"adjective",0.9,0,0,0,0.1
"different",0.0166154788873189,"adjective",0.9,0,0,0,0.1
"small",0.0155043756976191,"adjective",0.9,0,0,0,0.1
"large",0.0147873289057201,"adjective",0.9,0,0,0,0.1
"next",0.014055135517651,"adjective",0.9,0,0,0,0.1
"early",0.00947925541189155,"adjective",0.9,0,0,0,0.1
"young",0.00739024270226141,"adjective",0.9,0,0,0,0.1
"important",0.00722510972167617,"adjective",0.9,0,0,0,0.1
"few",0.0058693210083279,"adjective",0.9,0,0,0,0.1
"public",0.00375278932210334,"adjective",0.9,0,0,0,0.1
"bad",0.00370896247271425,"adjective",0.9,0,0,0,0.1
"same",0.00221843650499107,"adjective",0.9,0,0,0,0.1
"able",0.00112428683020592,"adjective",0.9,0,0,0,0.1
"to",0.425388210742305,"preposition",0.45,0,0.45,0,0.1
"of",0.135281066845492,"preposition",0.45,0,0.45,0,0.1
"in",0.107431244271063,"preposition",0.45,0,0.45,0,0.1
"for",0.104780315651184,"preposition",0.45,0,0.45,0,0.1
"on",0.0493475947272291,"preposition",0.45,0,0.45,0,0.1
"with",0.039254863017308,"preposition",0.45,0,0.45,0,0.1
"at",0.03662982862585,"preposition",0.45,0,0.45,0,0.1
"by",0.0332059294334381,"preposition",0.45,0,0.45,0,0.1
"from",0.0174598016048362,"preposition",0.45,0,0.45,0,0.1
"up",0.0170696670455813,"preposition",0.45,0,0.45,0,0.1
"about",0.0138665514096234,"preposition",0.45,0,0.45,0,0.1
"into",0.00886614414011356,"preposition",0.45,0,0.45,0,0.1
"over",0.00876260111370329,"preposition",0.45,0,0.45,0,0.1
"after",0.00265618137227331,"preposition",0.45,0,0.45,0,0.1
"the",0.180054859225638,"other",1,0,0,0,0
"and",0.110117495512665,"other",1,0,0,0,0
"a",0.0974698422146625,"other",1,0,0,0,0
"that",0.0956071877333386,"other",1,0,0,0,0
"I",0.0835607755505861,"other",1,0,0,0,0
"it",0.057260668800046,"other",1,0,0,0,0
"not",0.0547305115703534,"other",1,0,0,0,0
"he",0.0519025064206687,"other",1,0,0,0,0
"as",0.045472622595504,"other",1,0,0,0,0
"you",0.0443505591075742,"other",1,0,0,0,0
"this",0.0364150720588387,"other",1,0,0,0,0
"but",0.0208874482116706,"other",1,0,0,0,0
